Month,Day,Year,Hour,UCDdemand_kW
2,2,2023,2,19320
2,2,2023,3,19204
2,2,2023,4,19684
2,2,2023,5,21045
2,2,2023,6,22771
2,2,2023,7,24052
2,2,2023,8,24928
2,2,2023,9,25001
2,2,2023,10,25452
2,2,2023,11,25619
2,2,2023,12,25440
2,2,2023,13,25260
2,2,2023,14,24964
2,2,2023,15,24612
2,2,2023,16,24440
2,2,2023,17,24320
2,2,2023,18,24119
2,2,2023,19,22950
2,2,2023,20,22518
2,2,2023,21,21606
2,2,2023,22,20646
2,2,2023,23,20102
2,3,2023,0,19607
2,3,2023,1,19304
2,3,2023,2,18856
2,3,2023,3,18775
2,3,2023,4,19287
2,3,2023,5,20422
2,3,2023,6,21828
2,3,2023,7,23583
2,3,2023,8,23149
2,3,2023,9,25918
2,3,2023,10,25212
2,3,2023,11,25092
2,3,2023,12,24984
2,3,2023,13,24617
2,3,2023,14,24579
2,3,2023,15,24096
2,3,2023,16,23787
2,3,2023,17,24073
2,3,2023,18,23463
2,3,2023,19,22503
2,3,2023,20,21527
2,3,2023,21,20983
2,3,2023,22,20439
2,3,2023,23,19735
2,4,2023,0,21480
2,4,2023,1,22360
2,4,2023,2,22280
2,4,2023,3,22168
2,4,2023,4,22024
2,4,2023,5,22696
2,4,2023,6,23315
2,4,2023,7,23945
2,4,2023,8,23554
2,4,2023,9,23053
2,4,2023,10,20857
2,4,2023,11,20931
2,4,2023,12,20878
2,4,2023,13,20999
2,4,2023,14,21341
2,4,2023,15,21412
2,4,2023,16,21545
2,4,2023,17,21689
2,4,2023,18,21353
2,4,2023,19,20841
2,4,2023,20,20697
2,4,2023,21,19912
2,4,2023,22,19000
2,4,2023,23,18824
2,5,2023,0,18456
2,5,2023,1,18216
2,5,2023,2,18280
2,5,2023,3,18279
2,5,2023,4,18423
2,5,2023,5,19094
2,5,2023,6,19559
2,5,2023,7,19910
2,5,2023,8,20119
2,5,2023,9,20185
2,5,2023,10,20400
2,5,2023,11,20533
2,5,2023,12,20695
2,5,2023,13,20893
2,5,2023,14,21135
2,5,2023,15,21018
2,5,2023,16,21103
2,5,2023,17,21631
2,5,2023,18,21783
2,5,2023,19,21303
2,5,2023,20,21191
2,5,2023,21,20391
2,5,2023,22,19735
2,5,2023,23,19399
2,6,2023,0,18904
2,6,2023,1,18776
2,6,2023,2,18664
2,6,2023,3,18787
2,6,2023,4,19234
2,6,2023,5,20883
2,6,2023,6,22339
2,6,2023,7,23793
2,6,2023,8,24169
2,6,2023,9,24805
2,6,2023,10,24908
2,6,2023,11,24793
2,6,2023,12,24671
2,6,2023,13,24720
2,6,2023,14,24858
2,6,2023,15,24561
2,6,2023,16,24146
2,6,2023,17,24253
2,6,2023,18,23990
2,6,2023,19,22917
2,6,2023,20,22693
2,6,2023,21,22245
2,6,2023,22,22261
2,6,2023,23,23046
2,7,2023,0,23384
2,7,2023,1,23240
2,7,2023,2,22936
2,7,2023,3,22710
2,7,2023,4,22998
2,7,2023,5,24212
2,7,2023,6,25685
2,7,2023,7,27614
2,7,2023,8,27446
2,7,2023,9,26097
2,7,2023,10,26065
2,7,2023,11,26128
2,7,2023,12,25944
2,7,2023,13,25817
2,7,2023,14,25975
2,7,2023,15,25729
2,7,2023,16,24465
2,7,2023,17,24330
2,7,2023,18,23500
2,7,2023,19,23423
2,7,2023,20,21525
2,7,2023,21,22885
2,7,2023,22,20554
2,7,2023,23,20335
2,8,2023,0,19640
2,8,2023,1,19223
2,8,2023,2,19080
2,8,2023,3,18532
2,8,2023,4,19502
2,8,2023,5,20973
2,8,2023,6,22548
2,8,2023,7,24581
2,8,2023,8,24503
2,8,2023,9,25552
2,8,2023,10,25826
2,8,2023,11,25460
2,8,2023,12,25037
2,8,2023,13,25013
2,8,2023,14,25861
2,8,2023,15,24466
2,8,2023,16,24772
2,8,2023,17,23436
2,8,2023,18,23895
2,8,2023,19,23452
2,8,2023,20,21871
2,8,2023,21,21845
2,8,2023,22,20933
2,8,2023,23,20485
2,9,2023,0,19851
2,9,2023,1,18689
2,9,2023,2,18872
2,9,2023,3,20231
2,9,2023,4,22886
2,9,2023,5,24566
2,9,2023,6,26069
2,9,2023,7,27947
2,9,2023,8,28344
2,9,2023,9,29921
2,9,2023,10,30085
2,9,2023,11,29779
2,9,2023,12,25273
2,9,2023,13,24835
2,9,2023,14,24894
2,9,2023,15,24371
2,9,2023,16,24076
2,9,2023,17,24142
2,9,2023,18,23911
2,9,2023,19,22950
2,9,2023,20,22390
2,9,2023,21,21446
2,9,2023,22,20565
2,9,2023,23,20053
2,10,2023,0,19478
2,10,2023,1,19351
2,10,2023,2,18968
2,10,2023,3,18872
2,10,2023,4,19413
2,10,2023,5,20806
2,10,2023,6,22355
2,10,2023,7,24042
2,10,2023,8,25168
2,10,2023,9,25953
2,10,2023,10,25737
2,10,2023,11,25630
2,10,2023,12,25140
2,10,2023,13,25405
2,10,2023,14,25147
2,10,2023,15,24938
2,10,2023,16,23515
2,10,2023,17,23575
2,10,2023,18,23176
2,10,2023,19,22040
2,10,2023,20,21656
2,10,2023,21,21016
2,10,2023,22,20248
2,10,2023,23,19608
2,11,2023,0,19256
2,11,2023,1,19288
2,11,2023,2,19592
2,11,2023,3,21175
2,11,2023,4,21464
2,11,2023,5,22312
2,11,2023,6,23319
2,11,2023,7,23367
2,11,2023,8,24525
2,11,2023,9,24777
2,11,2023,10,24922
2,11,2023,11,24509
2,11,2023,12,24043
2,11,2023,13,23275
2,11,2023,14,22226
2,11,2023,15,20724
2,11,2023,16,20654
2,11,2023,17,21349
2,11,2023,18,21493
2,11,2023,19,21300
2,11,2023,20,20980
2,11,2023,21,20132
2,11,2023,22,19172
2,11,2023,23,18948
2,12,2023,0,18822
2,12,2023,1,18552
2,12,2023,2,18600
2,12,2023,3,18535
2,12,2023,4,18567
2,12,2023,5,19304
2,12,2023,6,19591
2,12,2023,7,20027
2,12,2023,8,20470
2,12,2023,9,20263
2,12,2023,10,20323
2,12,2023,11,20377
2,12,2023,12,20423
2,12,2023,13,20718
2,12,2023,14,20828
2,12,2023,15,20875
2,12,2023,16,20820
2,12,2023,17,21318
2,12,2023,18,21159
2,12,2023,19,20855
2,12,2023,20,20519
2,12,2023,21,19959
2,12,2023,22,19399
2,12,2023,23,19127
2,13,2023,0,21670
2,13,2023,1,22246
2,13,2023,2,22055
2,13,2023,3,22296
2,13,2023,4,22791
2,13,2023,5,24053
2,13,2023,6,25895
2,13,2023,7,28379
2,13,2023,8,29022
2,13,2023,9,28096
2,13,2023,10,25825
2,13,2023,11,25656
2,13,2023,12,25005
2,13,2023,13,24680
2,13,2023,14,24844
2,13,2023,15,24505
2,13,2023,16,23879
2,13,2023,17,24049
2,13,2023,18,23575
2,13,2023,19,22710
2,13,2023,20,22326
2,13,2023,21,21366
2,13,2023,22,20678
2,13,2023,23,20199
2,14,2023,0,19527
2,14,2023,1,19144
2,14,2023,2,18856
2,14,2023,3,18997
2,14,2023,4,19284
2,14,2023,5,20371
2,14,2023,6,22645
2,14,2023,7,27186
2,14,2023,8,28835
2,14,2023,9,29478
2,14,2023,10,29522
2,14,2023,11,29309
2,14,2023,12,28582
2,14,2023,13,28029
2,14,2023,14,28353
2,14,2023,15,27848
2,14,2023,16,26300
2,14,2023,17,24178
2,14,2023,18,23992
2,14,2023,19,23048
2,14,2023,20,22632
2,14,2023,21,21960
2,14,2023,22,20936
2,14,2023,23,20408
2,15,2023,0,19784
2,15,2023,1,19304
2,15,2023,2,19032
2,15,2023,3,19232
2,15,2023,4,19585
2,15,2023,5,21201
2,15,2023,6,22513
2,15,2023,7,24380
2,15,2023,8,25717
2,15,2023,9,26344
2,15,2023,10,26223
2,15,2023,11,26288
2,15,2023,12,25626
2,15,2023,13,24985
2,15,2023,14,24999
2,15,2023,15,24735
2,15,2023,16,24460
2,15,2023,17,24157
2,15,2023,18,24197
2,15,2023,19,23365
2,15,2023,20,22805
2,15,2023,21,22133
2,15,2023,22,21013
2,15,2023,23,20373
2,16,2023,0,20023
2,16,2023,1,19432
2,16,2023,2,19320
