Hours since 00:00 Jan 1,Lifetime Hourly Data: Electricity to grid (kW),Lifetime Hourly Data: Electricity to grid (kW)
1255.5,23003.8,23003.8
1256.5,35793.8,35793.8
1257.5,38445.3,38445.3
1258.5,37101.2,37101.2
1259.5,34807.5,34807.5
1260.5,33776.5,33776.5
1261.5,34943.7,34943.7
1262.5,36750.2,36750.2
1263.5,36291.8,36291.8
1264.5,30504.2,30504.2
1265.5,8772.09,8772.09
1266.5,0,0
1267.5,0,0
1268.5,0,0
1269.5,0,0
1270.5,0,0
1271.5,0,0
1272.5,0,0
1273.5,0,0
1274.5,0,0
1275.5,0,0
1276.5,0,0
1277.5,0,0
1278.5,0,0
1279.5,7753.9,7753.9
1280.5,13915.5,13915.5
1281.5,21905.2,21905.2
1282.5,35229.7,35229.7
1283.5,18169.7,18169.7
1284.5,23125.4,23125.4
1285.5,11378.2,11378.2
1286.5,3920.49,3920.49
1287.5,19924.8,19924.8
1288.5,1905.74,1905.74
1289.5,384.209,384.209
