Hours since 00:00 Jan 1,Lifetime Hourly Data: Electricity from grid to system (kW),Lifetime Hourly Data: Electricity from grid to system (kW),Lifetime Hourly Data: System power generated (kW)
586.5,0,0,59671.1
587.5,0,0,54745.2
588.5,0,0,52608.7
589.5,0,0,55729.5
590.5,0,0,60092.7
591.5,0,0,57023.5
592.5,0,0,40770.8
593.5,-1.90284,-1.90284,-1.90284
594.5,-1.90284,-1.90284,-1.90284
595.5,-1.90284,-1.90284,-1.90284
596.5,-1.90284,-1.90284,-1.90284
597.5,-1.90284,-1.90284,-1.90284
598.5,-1.90284,-1.90284,-1.90284
599.5,-1.90284,-1.90284,-1.90284
600.5,-1.90284,-1.90284,-1.90284
601.5,-1.90284,-1.90284,-1.90284
602.5,-1.90284,-1.90284,-1.90284
603.5,-1.90284,-1.90284,-1.90284
604.5,-1.90284,-1.90284,-1.90284
605.5,-1.90284,-1.90284,-1.90284
606.5,-1.90284,-1.90284,-1.90284
607.5,0,0,487.31
608.5,0,0,17225.5
609.5,0,0,38527
610.5,0,0,40968
611.5,0,0,41870.9
612.5,0,0,40693.6
613.5,0,0,34446.7
614.5,0,0,37057.2
615.5,0,0,16249.5
616.5,0,0,6461.59
617.5,-1.90284,-1.90284,-1.90284
618.5,-1.90284,-1.90284,-1.90284
619.5,-1.90284,-1.90284,-1.90284
620.5,-1.90284,-1.90284,-1.90284
621.5,-1.90284,-1.90284,-1.90284
622.5,-1.90284,-1.90284,-1.90284
623.5,-1.90284,-1.90284,-1.90284
624.5,-1.90284,-1.90284,-1.90284
625.5,-1.90284,-1.90284,-1.90284
626.5,-1.90284,-1.90284,-1.90284
627.5,-1.90284,-1.90284,-1.90284
628.5,-1.90284,-1.90284,-1.90284
629.5,-1.90284,-1.90284,-1.90284
630.5,-1.90284,-1.90284,-1.90284
631.5,0,0,5468.36
632.5,0,0,47979.2
633.5,0,0,59447.9
634.5,0,0,57972.4
635.5,0,0,53449.8
636.5,0,0,51245.8
637.5,0,0,53982.2
638.5,0,0,57877.5
639.5,0,0,54672.6
640.5,0,0,38706.4
641.5,-1.90284,-1.90284,-1.90284
642.5,-1.90284,-1.90284,-1.90284
643.5,-1.90284,-1.90284,-1.90284
644.5,-1.90284,-1.90284,-1.90284
645.5,-1.90284,-1.90284,-1.90284
646.5,-1.90284,-1.90284,-1.90284
647.5,-1.90284,-1.90284,-1.90284
648.5,-1.90284,-1.90284,-1.90284
649.5,-1.90284,-1.90284,-1.90284
650.5,-1.90284,-1.90284,-1.90284
651.5,-1.90284,-1.90284,-1.90284
652.5,-1.90284,-1.90284,-1.90284
653.5,-1.90284,-1.90284,-1.90284
654.5,-1.90284,-1.90284,-1.90284
655.5,0,0,273.253
656.5,0,0,13081.9
657.5,0,0,35180.7
658.5,0,0,24032.7
659.5,0,0,35976.4
660.5,0,0,51356.3
661.5,0,0,44905.6
662.5,0,0,43042.1
663.5,0,0,34696.1
